Variable,File
fx_tv_621c_auto,100_20251022_111010_50tables.xlsx
fx_tv_621c_fr,100_20251022_111010_50tables.xlsx
fx_tv_621c_jz,100_20251022_111010_50tables.xlsx
fx_tv_621d_ao,100_20251022_111010_50tables.xlsx
fx_tv_621d_auto,100_20251022_111010_50tables.xlsx
fx_tv_621d_fr,100_20251022_111010_50tables.xlsx
fx_tv_621d_jz,100_20251022_111010_50tables.xlsx
fx_x1_xt,101_20251022_111232_50tables.xlsx
fx_x1cx1_ai2,101_20251022_111232_50tables.xlsx
fx_x1cx1_ai27,101_20251022_111232_50tables.xlsx
fx_x1cx1_ao1,101_20251022_111232_50tables.xlsx
fx_x1cx1_ao2,101_20251022_111232_50tables.xlsx
fx_x1cx1_ao3,101_20251022_111232_50tables.xlsx
fx_x1cx1_ao4,101_20251022_111232_50tables.xlsx
fx_x1cx1_ao5,101_20251022_111232_50tables.xlsx
fx_x1cx1_ao6,101_20251022_111232_50tables.xlsx
fx_x1cx1_di1,101_20251022_111232_50tables.xlsx
fx_x1cx1_di10,101_20251022_111232_50tables.xlsx
fx_x1cx1_di11,101_20251022_111232_50tables.xlsx
fx_x1cx1_di12,101_20251022_111232_50tables.xlsx
fx_x1cx1_di13,101_20251022_111232_50tables.xlsx
fx_x1cx1_di14,101_20251022_111232_50tables.xlsx
fx_x1cx1_di15,101_20251022_111232_50tables.xlsx
fx_x1cx1_di16,101_20251022_111232_50tables.xlsx
fx_x1cx1_di17,102_20251022_111342_50tables.xlsx
fx_x1cx1_di18,102_20251022_111342_50tables.xlsx
fx_x1cx1_di19,102_20251022_111342_50tables.xlsx
fx_x1cx1_di2,102_20251022_111342_50tables.xlsx
fx_x1cx1_di3,102_20251022_111342_50tables.xlsx
fx_x1cx1_di4,102_20251022_111342_50tables.xlsx
fx_x1cx1_di5,102_20251022_111342_50tables.xlsx
fx_x1cx1_di6,102_20251022_111342_50tables.xlsx
fx_x1cx1_di7,102_20251022_111342_50tables.xlsx
fx_x1cx1_di8,102_20251022_111342_50tables.xlsx
fx_x1cx1_di9,102_20251022_111342_50tables.xlsx
fx_x1cx1_do1,102_20251022_111342_50tables.xlsx
fx_x1cx1_do2,102_20251022_111342_50tables.xlsx
fx_x1cx1_do3,102_20251022_111342_50tables.xlsx
fx_x1cx1_do4,102_20251022_111342_50tables.xlsx
fx_x1cx1_do5,102_20251022_111342_50tables.xlsx
fx_x1cx1_do6,102_20251022_111342_50tables.xlsx
fx_x1cx1_do7,102_20251022_111342_50tables.xlsx
fx_x1cx2_ai2,102_20251022_111342_50tables.xlsx
fx_x1cx2_ai27,102_20251022_111342_50tables.xlsx
fx_x1cx2_ao1,102_20251022_111342_50tables.xlsx
fx_x1cx2_ao2,102_20251022_111342_50tables.xlsx
fx_x1cx2_ao3,102_20251022_111342_50tables.xlsx
fx_x1cx2_ao4,102_20251022_111342_50tables.xlsx
fx_x1cx2_ao5,102_20251022_111342_50tables.xlsx
fx_x1cx2_ao6,103_20251022_111408_50tables.xlsx
fx_x1cx2_di1,103_20251022_111408_50tables.xlsx
fx_x1cx2_di10,103_20251022_111408_50tables.xlsx
fx_x1cx2_di11,103_20251022_111408_50tables.xlsx
fx_x1cx2_di12,103_20251022_111408_50tables.xlsx
fx_x1cx2_di13,103_20251022_111408_50tables.xlsx
fx_x1cx2_di14,103_20251022_111408_50tables.xlsx
fx_x1cx2_di15,103_20251022_111408_50tables.xlsx
fx_x1cx2_di16,103_20251022_111408_50tables.xlsx
fx_x1cx2_di17,103_20251022_111408_50tables.xlsx
fx_x1cx2_di18,103_20251022_111408_50tables.xlsx
fx_x1cx2_di19,103_20251022_111408_50tables.xlsx
fx_x1cx2_di2,103_20251022_111408_50tables.xlsx
fx_x1cx2_di3,103_20251022_111408_50tables.xlsx
fx_x1cx2_di4,103_20251022_111408_50tables.xlsx
fx_x1cx2_di5,103_20251022_111408_50tables.xlsx
fx_x1cx2_di6,103_20251022_111408_50tables.xlsx
fx_x1cx2_di7,103_20251022_111408_50tables.xlsx
fx_x1cx2_di8,103_20251022_111408_50tables.xlsx
fx_x1cx2_di9,103_20251022_111408_50tables.xlsx
fx_x1cx2_do1,103_20251022_111408_50tables.xlsx
fx_x1cx2_do2,103_20251022_111408_50tables.xlsx
fx_x1cx2_do3,103_20251022_111408_50tables.xlsx
fx_x1cx2_do4,103_20251022_111408_50tables.xlsx
fx_x1cx2_do5,103_20251022_111408_50tables.xlsx
fx_x1cx2_do6,103_20251022_111408_50tables.xlsx
fx_x1cx2_do7,103_20251022_111408_50tables.xlsx
fx_x1cx3_ai2,103_20251022_111408_50tables.xlsx
fx_x1cx3_ai27,103_20251022_111408_50tables.xlsx
fx_x1cx3_ao1,104_20251022_111440_50tables.xlsx
fx_x1cx3_ao2,104_20251022_111440_50tables.xlsx
fx_x1cx3_ao3,104_20251022_111440_50tables.xlsx
fx_x1cx3_ao4,104_20251022_111440_50tables.xlsx
fx_x1cx3_ao5,104_20251022_111440_50tables.xlsx
fx_x1cx3_ao6,104_20251022_111440_50tables.xlsx
fx_x1cx3_di1,104_20251022_111440_50tables.xlsx
fx_x1cx3_di10,104_20251022_111440_50tables.xlsx
fx_x1cx3_di11,104_20251022_111440_50tables.xlsx
fx_x1cx3_di12,104_20251022_111440_50tables.xlsx
fx_x1cx3_di13,104_20251022_111440_50tables.xlsx
fx_x1cx3_di14,104_20251022_111440_50tables.xlsx
fx_x1cx3_di15,104_20251022_111440_50tables.xlsx
fx_x1cx3_di16,104_20251022_111440_50tables.xlsx
fx_x1cx3_di17,104_20251022_111440_50tables.xlsx
fx_x1cx3_di18,104_20251022_111440_50tables.xlsx
fx_x1cx3_di19,104_20251022_111440_50tables.xlsx
fx_x1cx3_di2,104_20251022_111440_50tables.xlsx
fx_x1cx3_di3,104_20251022_111440_50tables.xlsx
fx_x1cx3_di4,104_20251022_111440_50tables.xlsx
fx_x1cx3_di5,104_20251022_111440_50tables.xlsx
fx_x1cx3_di6,104_20251022_111440_50tables.xlsx
fx_x1cx3_di7,104_20251022_111440_50tables.xlsx
fx_x1cx3_di8,104_20251022_111440_50tables.xlsx
fx_x1cx3_di9,104_20251022_111440_50tables.xlsx
fx_x1cx3_do1,104_20251022_111440_50tables.xlsx
fx_x1cx3_do2,104_20251022_111440_50tables.xlsx
fx_x1cx3_do3,104_20251022_111440_50tables.xlsx
fx_x1cx3_do4,104_20251022_111440_50tables.xlsx
fx_x1cx3_do5,104_20251022_111440_50tables.xlsx
fx_x1cx3_do6,104_20251022_111440_50tables.xlsx
fx_x1cx3_do7,104_20251022_111440_50tables.xlsx
fx_x1jx_ao1,105_20251022_111515_50tables.xlsx
fx_x1jx_ao2,105_20251022_111515_50tables.xlsx
fx_x1jx_ao3,105_20251022_111515_50tables.xlsx
fx_x1jx_ao4,105_20251022_111515_50tables.xlsx
fx_x1jx_ao5,105_20251022_111515_50tables.xlsx
fx_x1jx_ao6,105_20251022_111515_50tables.xlsx
fx_x1jx_ao7,105_20251022_111515_50tables.xlsx
fx_x1jx_ao8,105_20251022_111515_50tables.xlsx
fx_x1jx_di1,105_20251022_111515_50tables.xlsx
fx_x1jx_di10,105_20251022_111515_50tables.xlsx
fx_x1jx_di11,105_20251022_111515_50tables.xlsx
fx_x1jx_di12,105_20251022_111515_50tables.xlsx
fx_x1jx_di13,105_20251022_111515_50tables.xlsx
fx_x1jx_di14,105_20251022_111515_50tables.xlsx
fx_x1jx_di15,105_20251022_111515_50tables.xlsx
fx_x1jx_di16,105_20251022_111515_50tables.xlsx
fx_x1jx_di17,105_20251022_111515_50tables.xlsx
fx_x1jx_di18,105_20251022_111515_50tables.xlsx
fx_x1jx_di19,105_20251022_111515_50tables.xlsx
fx_x1jx_di2,105_20251022_111515_50tables.xlsx
fx_x1jx_di20,105_20251022_111515_50tables.xlsx
fx_x1jx_di21,105_20251022_111515_50tables.xlsx
fx_x1jx_di22,105_20251022_111515_50tables.xlsx
fx_x1jx_di23,105_20251022_111515_50tables.xlsx
fx_x1jx_di24,105_20251022_111515_50tables.xlsx
fx_x1jx_di25,105_20251022_111515_50tables.xlsx
fx_x1jx_di26,106_20251022_111537_50tables.xlsx
fx_x1jx_di27,106_20251022_111537_50tables.xlsx
fx_x1jx_di3,106_20251022_111537_50tables.xlsx
fx_x1jx_di4,106_20251022_111537_50tables.xlsx
fx_x1jx_di5,106_20251022_111537_50tables.xlsx
fx_x1jx_di6,106_20251022_111537_50tables.xlsx
fx_x1jx_di7,106_20251022_111537_50tables.xlsx
fx_x1jx_di8,106_20251022_111537_50tables.xlsx
fx_x1jx_di9,106_20251022_111537_50tables.xlsx
fx_x1jx_do1,106_20251022_111537_50tables.xlsx
fx_x1jx_do10,106_20251022_111537_50tables.xlsx
fx_x1jx_do2,106_20251022_111537_50tables.xlsx
fx_x1jx_do3,106_20251022_111537_50tables.xlsx
fx_x1jx_do4,106_20251022_111537_50tables.xlsx
fx_x1jx_do5,106_20251022_111537_50tables.xlsx
fx_x1jx_do6,106_20251022_111537_50tables.xlsx
fx_x1jx_do7,106_20251022_111537_50tables.xlsx
fx_x1jx_do8,106_20251022_111537_50tables.xlsx
