MC2_FET101_DL_AI	1#新建强磁前浓缩机底流泵出口管道流量
MC2_FET102_DL_AI	2#新建强磁前浓缩机底流泵出口管道流量
MC2_FET201_DL_AI	1#新建机械加速澄清池底流泵出口管道流量
MC2_FET202_DL_AI	2#新建机械加速澄清池底流泵出口管道流量
MC2_PET101_AI	1#新建强磁前浓缩机底流泵出口管道压力
MC2_PET102_AI	2#新建强磁前浓缩机底流泵出口管道压力
MC2_QC501_LCDY_AI	励磁电压值
MC2_QC501_LCDL_AI	励磁电流值
MC2_QC501_CKSYL_AI	冲矿水压力值
MC2_QC502_LCDY_AI	励磁电压值
MC2_QC502_LCDL_AI	励磁电流值
MC2_QC502_CKSYL_AI	冲矿水压力值
MC2_QC503_LCDY_AI	励磁电压值
MC2_QC503_LCDL_AI	励磁电流值
MC2_QC503_CKSYL_AI	冲矿水压力值
MC2_QC504_LCDY_AI	励磁电压值
MC2_QC504_LCDL_AI	励磁电流值
MC2_QC504_CKSYL_AI	冲矿水压力值
MC2_QC505_LCDY_AI	励磁电压值
MC2_QC505_LCDL_AI	励磁电流值
MC2_QC505_CKSYL_AI	冲矿水压力值
MC2_QC506_LCDY_AI	励磁电压值
MC2_QC506_LCDL_AI	励磁电流值
MC2_QC506_CKSYL_AI	冲矿水压力值
MC2_QC507_LCDY_AI	励磁电压值
MC2_QC507_LCDL_AI	励磁电流值
MC2_QC507_CKSYL_AI	冲矿水压力值
MC2_QC508_LCDY_AI	励磁电压值
MC2_QC508_LCDL_AI	励磁电流值
MC2_QC508_CKSYL_AI	冲矿水压力值
MC2_QC509_LCDY_AI	励磁电压值
MC2_QC509_LCDL_AI	励磁电流值
MC2_QC509_CKSYL_AI	冲矿水压力值
MC2_QC510_LCDY_AI	励磁电压值
MC2_QC510_LCDL_AI	励磁电流值
MC2_QC510_CKSYL_AI	冲矿水压力值
MC2_QC601_LCDY_AI	励磁电压值
MC2_QC601_LCDL_AI	励磁电流值
MC2_QC601_CKSYL_AI	冲矿水压力值
MC2_QC602_LCDY_AI	励磁电压值
MC2_QC602_LCDL_AI	励磁电流值
MC2_QC602_CKSYL_AI	冲矿水压力值
MC2_QC603_LCDY_AI	励磁电压值
MC2_QC603_LCDL_AI	励磁电流值
MC2_QC603_CKSYL_AI	冲矿水压力值
MC2_QC604_LCDY_AI	励磁电压值
MC2_QC604_LCDL_AI	励磁电流值
MC2_QC604_CKSYL_AI	冲矿水压力值
MC2_QC605_LCDY_AI	励磁电压值
MC2_QC605_LCDL_AI	励磁电流值
MC2_QC605_CKSYL_AI	冲矿水压力值
MC2_QC606_LCDY_AI	励磁电压值
MC2_QC606_LCDL_AI	励磁电流值
MC2_QC606_CKSYL_AI	冲矿水压力值
MC2_QC607_LCDY_AI	励磁电压值
MC2_QC607_LCDL_AI	励磁电流值
MC2_QC607_CKSYL_AI	冲矿水压力值
MC2_QC608_LCDY_AI	励磁电压值
MC2_QC608_LCDL_AI	励磁电流值
MC2_QC608_CKSYL_AI	冲矿水压力值
MC2_QC609_LCDY_AI	励磁电压值
MC2_QC609_LCDL_AI	励磁电流值
MC2_QC609_CKSYL_AI	冲矿水压力值
MC2_QC610_LCDY_AI	励磁电压值
MC2_QC610_LCDL_AI	励磁电流值
MC2_QC610_CKSYL_AI	冲矿水压力值
