experiment,seed,n_samples,graph_type,ml_method,treatment_idx,outcome_idx,n_confounders,n_adjustment,ate_true,ate_source,theta_hat,se,ci_lower,ci_upper,bias,covers_true
0,1000,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.047249,0.021563,-0.089513,-0.004986,0.023018,True
1,1013,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041071,0.022325,-0.084827,0.002685,0.029197,True
2,1026,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.011265,0.021699,-0.053794,0.031264,0.059003,False
3,1039,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.032546,0.02029,-0.072315,0.007224,0.037722,True
4,1052,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.00507,0.0199,-0.033935,0.044075,0.075338,False
5,1065,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.028437,0.021147,-0.069885,0.013012,0.041831,False
6,1078,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.005915,0.020036,-0.045185,0.033355,0.064353,False
7,1091,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.005921,0.021462,-0.036146,0.047987,0.076188,False
8,1104,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.038446,0.021127,-0.079854,0.002962,0.031822,True
9,1117,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.062928,0.020626,-0.103354,-0.022501,0.00734,True
10,1130,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.013855,0.020985,-0.054986,0.027275,0.056413,False
11,1143,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.038633,0.020801,-0.079404,0.002137,0.031635,True
12,1156,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.036566,0.022302,-0.080278,0.007145,0.033701,True
13,1169,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.0589,0.02109,-0.100237,-0.017563,0.011368,True
14,1182,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.036467,0.022548,-0.080662,0.007727,0.0338,True
15,1195,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.04815,0.020668,-0.088659,-0.007641,0.022118,True
16,1208,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.026007,0.020607,-0.066397,0.014384,0.044261,False
17,1221,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.038965,0.021873,-0.081837,0.003906,0.031302,True
18,1234,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.051969,0.021358,-0.093831,-0.010107,0.018299,True
19,1247,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.015711,0.020259,-0.055418,0.023996,0.054557,False
20,1260,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.058654,0.02127,-0.100344,-0.016965,0.011613,True
21,1273,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.08404,0.021452,-0.126085,-0.041994,-0.013772,True
22,1286,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.021857,0.021292,-0.06359,0.019876,0.048411,False
23,1299,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.000917,0.020869,-0.041821,0.039986,0.06935,False
24,1312,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.012396,0.020733,-0.02824,0.053032,0.082663,False
25,1325,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.033803,0.021599,-0.076137,0.008531,0.036465,True
26,1338,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.034709,0.019969,-0.073847,0.00443,0.035559,True
27,1351,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.018587,0.020875,-0.059503,0.022328,0.05168,False
28,1364,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.022098,0.019598,-0.06051,0.016313,0.048169,False
