出矿口,模型,训练R2,训练RMSE,训练MAE,测试R2,测试RMSE,测试MAE
新一线精矿品位,ElasticNet,0.4621,1.0218,0.7884,0.1784,0.979,0.7487
新一线精矿品位,SVR,0.801,0.6215,0.3446,-0.2246,1.1952,0.9367
新一线精矿品位,GPR,0.5071,0.9782,0.7343,0.1108,1.0185,0.8198
新一线精矿品位,XGBoost,0.791,0.637,0.4837,0.2018,0.9649,0.7508
新一线精矿品位,LightGBM,0.7371,0.7144,0.539,0.1801,0.9779,0.7807
新一线精矿品位,Bi-LSTM,-0.4971,1.7045,1.284,0.1829,0.9808,0.7632
新二线精矿品位,ElasticNet,0.4208,0.9484,0.732,0.1837,1.2426,0.8345
新二线精矿品位,SVR,0.8636,0.4603,0.2482,-0.0159,1.3862,0.9836
新二线精矿品位,GPR,0.5107,0.8717,0.6584,0.0471,1.3426,0.9277
新二线精矿品位,XGBoost,0.8087,0.5451,0.4183,0.1351,1.2791,0.8786
新二线精矿品位,LightGBM,0.7332,0.6437,0.482,0.1068,1.2998,0.8806
新二线精矿品位,Bi-LSTM,-0.5162,1.5371,1.1829,-0.0103,1.3858,0.9352
